strategy,side,split,cost_bps,horizon,n,median_return,mean_return,hit_rate
fresh_stack,long,train,30,5,176,-0.04517069368972432,-0.0555678560068874,0.25
fresh_stack,long,train,30,10,176,-0.059504106274399726,-0.059271960940363584,0.2727272727272727
fresh_stack,long,train,30,20,176,-0.06668098733414968,-0.07623153321790505,0.29545454545454547
fresh_stack,long,train,30,30,176,-0.08630724358000852,-0.11420257182403876,0.26136363636363635
fresh_stack,long,train,60,1,176,-0.009027007555367778,-0.011224144703153555,0.3693181818181818
fresh_stack,long,train,60,3,176,-0.01591161169621668,-0.035526308147924124,0.3522727272727273
fresh_stack,long,train,60,5,176,-0.04817069368972431,-0.05856785600688741,0.23863636363636365
fresh_stack,long,train,60,10,176,-0.06250410627439973,-0.06227196094036359,0.26136363636363635
fresh_stack,long,train,60,20,176,-0.06968098733414968,-0.07923153321790505,0.29545454545454547
fresh_stack,long,train,60,30,176,-0.08930724358000852,-0.11720257182403876,0.24431818181818182
fresh_stack,short,test,20,1,611,0.0020577828274629412,0.002236529664230898,0.530278232405892
fresh_stack,short,test,20,3,611,0.0013745781777279049,0.0016010061239083034,0.5090016366612111
fresh_stack,short,test,20,5,611,0.01397603594608088,0.018098249565005248,0.5842880523731587
fresh_stack,short,test,20,10,611,0.013171078114912806,0.023091682118081724,0.5499181669394435
fresh_stack,short,test,20,20,611,0.06793526477767164,0.05921479832717898,0.6546644844517185
fresh_stack,short,test,20,30,611,0.0687889641819941,0.07796890475489399,0.6497545008183306
fresh_stack,short,test,30,1,611,0.0010577828274629412,0.001236529664230897,0.5188216039279869
fresh_stack,short,test,30,3,611,0.00037457817772790485,0.0006010061239083036,0.5057283142389526
fresh_stack,short,test,30,5,611,0.01297603594608088,0.017098249565005247,0.5761047463175123
fresh_stack,short,test,30,10,611,0.012171078114912807,0.022091682118081723,0.5450081833060556
fresh_stack,short,test,30,20,611,0.06693526477767164,0.05821479832717897,0.6513911620294599
fresh_stack,short,test,30,30,611,0.0677889641819941,0.07696890475489397,0.6497545008183306
fresh_stack,short,test,60,1,611,-0.0019422171725370588,-0.001763470335769102,0.47299509001636664
fresh_stack,short,test,60,3,611,-0.002625421822272095,-0.002398993876091697,0.4795417348608838
fresh_stack,short,test,60,5,611,0.00997603594608088,0.014098249565005244,0.5597381342062193
fresh_stack,short,test,60,10,611,0.009171078114912806,0.019091682118081724,0.5286415711947627
fresh_stack,short,test,60,20,611,0.06393526477767164,0.05521479832717897,0.6448445171849427
fresh_stack,short,test,60,30,611,0.06478896418199409,0.07396890475489398,0.6415711947626841
fresh_stack,short,train,20,1,518,-0.003962278273641371,-0.004370571068385776,0.4420849420849421
fresh_stack,short,train,20,3,518,0.0007665861515065448,0.002008901012817896,0.5057915057915058
fresh_stack,short,train,20,5,518,0.016945133822805047,0.013359806199641406,0.5675675675675675
fresh_stack,short,train,20,10,518,0.022013303769401305,0.004999105610485,0.5694980694980695
fresh_stack,short,train,20,20,518,0.043547173447854914,0.03705792012655901,0.6042471042471043
fresh_stack,short,train,20,30,518,0.09408767071494634,0.04108416555350019,0.640926640926641
fresh_stack,short,train,30,1,518,-0.004962278273641371,-0.005370571068385776,0.4305019305019305
fresh_stack,short,train,30,3,518,-0.0002334138484934552,0.0010089010128178952,0.5
fresh_stack,short,train,30,5,518,0.01594513382280505,0.012359806199641405,0.5656370656370656
fresh_stack,short,train,30,10,518,0.021013303769401307,0.003999105610484999,0.5694980694980695
