strategy,side,split,horizon,n,mean_return,median_return,hit_rate,p25,p75,median_mfe_20d,median_mae_20d
pullback_recapture,long,test,3,98,-0.014140983310013368,-0.0025496404314822568,0.30612244897959184,-0.05399908959500091,0.0036865903162201525,0.045561188381290085,-0.14085340634829474
pullback_recapture,long,test,5,98,-0.020225957519551453,-0.0023199127868823704,0.3469387755102041,-0.06813088992400068,0.008755110580532301,0.045561188381290085,-0.14085340634829474
pullback_recapture,long,test,10,98,-0.033171942920399274,-0.003244681270770265,0.30612244897959184,-0.1112482879439401,0.023386661615526272,0.045561188381290085,-0.14085340634829474
pullback_recapture,long,test,20,98,-0.030203570765665995,-0.020515937535031836,0.22448979591836735,-0.14404067409343368,-0.001577792322597969,0.045561188381290085,-0.14085340634829474
pullback_recapture,long,test,30,98,-0.03457097096820826,-0.04066887885906756,0.24489795918367346,-0.19592526453426473,-0.0008489088697848906,0.045561188381290085,-0.14085340634829474
pullback_recapture,long,train,1,294,0.0059674363511218985,-0.0021847289116779228,0.4557823129251701,-0.026992456753552135,0.025648688897294547,0.08294819376797102,-0.17993106186504132
pullback_recapture,long,train,3,294,-0.017767076641713987,-0.013951778923582124,0.3877551020408163,-0.07791053508076282,0.022137424287702323,0.08294819376797102,-0.17993106186504132
pullback_recapture,long,train,5,294,-0.03636372433038222,-0.023397499780566655,0.35374149659863946,-0.09768140030263878,0.016768255427579704,0.08294819376797102,-0.17993106186504132
pullback_recapture,long,train,10,294,-0.05154689946760351,-0.04018874332543981,0.36394557823129253,-0.1499154490506071,0.027026207641123845,0.08294819376797102,-0.17993106186504132
pullback_recapture,long,train,20,294,-0.08960098291183369,-0.07629217311719144,0.22448979591836735,-0.187676761360515,-0.004319289517048989,0.08294819376797102,-0.17993106186504132
pullback_recapture,long,train,30,294,-0.10899501792631036,-0.11411667157912031,0.2653061224489796,-0.26059757650349635,0.0020928097979044952,0.08294819376797102,-0.17993106186504132
pullback_recapture,short,test,1,668,0.004063973542656292,0.006223414932767681,0.5778443113772455,-0.013102383813913042,0.023506371436754103,0.14965675647196774,-0.0802093024669962
pullback_recapture,short,test,3,668,0.013403117542886606,0.008711698274025183,0.5523952095808383,-0.03163658626715621,0.05364842958459984,0.14965675647196774,-0.0802093024669962
pullback_recapture,short,test,5,668,0.014710642452851044,0.016197692417396214,0.5718562874251497,-0.035697588714438344,0.0718268973498683,0.14965675647196774,-0.0802093024669962
pullback_recapture,short,test,10,668,0.030901465509437925,0.027891347264328292,0.5973053892215568,-0.03917133744083506,0.1223734553378499,0.14965675647196774,-0.0802093024669962
pullback_recapture,short,test,20,668,0.05977449606317798,0.06479279456363024,0.6497005988023952,-0.03074822046683623,0.1752071751009742,0.14965675647196774,-0.0802093024669962
pullback_recapture,short,test,30,668,0.08048703806128854,0.0795200725076784,0.655688622754491,-0.03523393570654082,0.22742754631245934,0.14965675647196774,-0.0802093024669962
pullback_recapture,short,train,1,568,0.006183749166160891,-0.0016491503962421366,0.4823943661971831,-0.027444541128240185,0.03385639463713977,0.19635519279482128,-0.12380964750295576
pullback_recapture,short,train,3,568,0.006203787858771606,-0.002200300651578833,0.4665492957746479,-0.042131530242084825,0.052016637986305375,0.19635519279482128,-0.12380964750295576
pullback_recapture,short,train,5,568,0.019025325326365028,0.010603929577203743,0.551056338028169,-0.04120087424493246,0.07107640835281137,0.19635519279482128,-0.12380964750295576
pullback_recapture,short,train,10,568,0.012883182257390057,0.03179327565641038,0.5616197183098591,-0.08926660334380698,0.13825960995774522,0.19635519279482128,-0.12380964750295576
pullback_recapture,short,train,20,568,0.03231192034706372,0.05568926490571652,0.602112676056338,-0.08166707290888575,0.20140837892442856,0.19635519279482128,-0.12380964750295576
pullback_recapture,short,train,30,568,0.03036510967086299,0.07388843778320275,0.6091549295774648,-0.08425432636776786,0.24091072236761837,0.19635519279482128,-0.12380964750295576
